City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Atuona,-9.8,-139.03,80.08,64,0,10.92,PF,2020-06-21 05:40:49
70,Mulanje,-16.03,35.5,62.74,71,36,3.71,MW,2020-06-21 05:41:19
71,Kahului,20.89,-156.47,80.6,57,40,14.99,US,2020-06-21 05:41:04
72,Ndjole,-0.18,10.76,72.7,92,85,2.19,GA,2020-06-21 05:41:19
73,Sioux Lookout,50.1,-91.92,59.0,87,90,2.24,CA,2020-06-21 05:41:20
74,Souillac,-20.52,57.52,71.6,83,75,16.11,MU,2020-06-21 05:41:20
75,Gilleleje,56.12,12.31,63.0,91,100,10.49,DK,2020-06-21 05:41:20
76,Vung Tau,10.35,107.08,85.87,66,86,5.03,VN,2020-06-21 05:39:49
77,Thompson,55.74,-97.86,48.2,100,75,5.82,CA,2020-06-21 05:41:21
78,Victoria,22.29,114.16,93.99,67,95,7.0,HK,2020-06-21 05:40:05
79,Dicabisagan,17.08,122.42,87.6,70,54,12.33,PH,2020-06-21 05:41:24
80,Kemin,42.78,75.69,78.42,25,0,3.24,KG,2020-06-21 05:41:25
81,Mildura,-34.2,142.15,54.0,76,90,12.75,AU,2020-06-21 05:41:25
82,Along,28.17,94.77,89.98,60,34,2.98,IN,2020-06-21 05:41:25
83,Maues,-3.38,-57.72,73.2,94,91,1.66,BR,2020-06-21 05:41:26
84,Batemans Bay,-35.72,150.18,63.0,79,8,3.0,AU,2020-06-21 05:40:42
85,Azul,-36.78,-59.86,48.0,74,97,1.99,AR,2020-06-21 05:41:27
86,Redmond,47.67,-122.12,63.0,83,48,3.31,US,2020-06-21 05:41:26
87,Hamilton,39.18,-84.53,75.0,88,1,3.53,US,2020-06-21 05:40:30
88,Lompoc,34.64,-120.46,55.4,93,90,3.36,US,2020-06-21 05:41:28
89,Upernavik,72.79,-56.15,38.26,77,0,6.93,GL,2020-06-21 05:41:29
90,Kaitangata,-46.28,169.85,43.0,73,22,1.99,NZ,2020-06-21 05:41:29
91,Vostok,46.49,135.88,48.18,100,100,6.46,RU,2020-06-21 05:41:29
92,Gimli,50.63,-96.99,55.99,95,78,11.74,CA,2020-06-21 05:41:09
