City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
516,Porosozero,RU,64.45,62.72,32.73,
517,Puerto Baquerizo Moreno,EC,68.43,-0.9,-89.6,
521,Cherkasskoye,RU,60.69,52.43,47.22,
522,Sergeyevka,KZ,60.53,53.88,67.42,
525,Creston,US,71.6,41.06,-94.36,
526,Florida,US,72.0,28.75,-82.5,
527,Goderich,CA,73.0,43.75,-81.72,
529,Altamira,BR,71.15,-3.2,-52.21,
530,Dongsheng,CN,63.59,39.82,109.98,
533,Brewster,US,68.0,41.4,-73.62,
535,Vrangel,RU,61.32,42.73,133.08,
537,Mandalgovi,MN,74.57,45.76,106.27,
538,Alpena,US,60.01,45.06,-83.43,
539,Lethem,GY,74.05,3.38,-59.8,
540,Sanary-Sur-Mer,FR,71.6,43.12,5.8,
543,Kearney,US,66.2,40.7,-99.08,
544,Bud,US,64.99,39.45,-86.18,
546,Egvekinot,RU,61.7,66.32,-179.17,
547,Lima,PE,62.6,-12.04,-77.03,
549,Rio Grande,BR,61.0,-32.03,-52.1,
551,Paita,PE,65.25,-5.09,-81.11,
552,Arman,RU,62.85,59.7,150.17,
553,Harper,LR,76.3,4.38,-7.72,
554,Sao Miguel Do Araguaia,BR,66.87,-13.28,-50.16,
555,Sao Jose Da Coroa Grande,BR,75.49,-8.9,-35.15,
556,Fare,PF,77.32,-16.7,-151.02,
557,Adeje,ES,69.8,28.12,-16.73,
558,Sistranda,NO,60.8,63.73,8.83,
560,Margate,GB,60.01,51.38,1.39,
