City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
71,Olafsvik,100,IS,light rain,87,64.89,-23.71,50.63,0.57,0,13.2
72,Ushtobe,71,KZ,broken clouds,13,45.25,77.98,86.13,0.0,0,11.05
73,Barrow,90,US,mist,93,71.29,-156.79,35.6,0.0,0,11.41
74,Agirish,90,RU,overcast clouds,48,61.92,63.02,53.87,0.0,0,8.84
75,Hobart,75,AU,moderate rain,93,-42.88,147.33,55.0,2.8,0,18.34
76,Georgetown,20,MY,few clouds,74,5.41,100.34,87.8,0.0,0,8.05
77,Mocajuba,46,BR,scattered clouds,98,-2.58,-49.51,71.82,0.0,0,1.59
78,Acapulco,88,MX,overcast clouds,70,16.86,-99.89,81.7,0.0,0,1.61
79,Shache,0,CN,clear sky,9,38.42,77.24,94.57,0.0,0,8.99
80,Port Macquarie,38,AU,scattered clouds,54,-31.43,152.92,63.0,0.0,0,9.42
81,Akyab,86,MM,moderate rain,77,20.15,92.9,86.23,1.24,0,15.37
82,Laiyang,58,CN,broken clouds,48,36.98,120.71,84.99,0.0,0,3.0
83,Kaitangata,0,NZ,clear sky,74,-46.28,169.85,43.0,0.0,0,3.0
84,Trinidad,13,BO,few clouds,73,-14.83,-64.9,74.39,0.0,0,3.76
85,Vavozh,0,RU,clear sky,62,56.78,51.93,56.17,0.0,0,7.83
86,Meulaboh,100,ID,moderate rain,93,4.14,96.13,75.85,1.44,0,4.07
87,Lebu,99,CL,light rain,88,-37.62,-73.65,52.16,0.36,0,29.06
88,Bhainsdehi,70,IN,light rain,72,21.65,77.63,82.27,0.22,0,12.84
89,New Norfolk,100,AU,moderate rain,92,-42.78,147.06,55.0,1.52,0,1.01
90,Mehamn,75,NO,broken clouds,93,71.04,27.85,42.8,0.0,0,17.22
91,Bluff,10,NZ,clear sky,83,-46.6,168.33,39.0,0.0,0,3.0
92,Thompson,75,CA,broken clouds,93,55.74,-97.86,55.4,0.0,0,1.59
93,East London,11,ZA,few clouds,71,-33.02,27.91,55.4,0.0,0,9.17
94,Bredasdorp,79,ZA,broken clouds,100,-34.53,20.04,48.2,0.0,0,4.76
95,Yozgat,53,TR,broken clouds,49,39.58,35.33,68.49,0.0,0,3.4
96,Sikandra,0,IN,clear sky,31,26.37,79.65,100.36,0.0,0,8.79
97,Fort-Shevchenko,71,KZ,broken clouds,35,44.51,50.26,86.09,0.0,0,2.39
98,Port Alfred,15,ZA,few clouds,91,-33.59,26.89,57.0,0.0,0,4.7
99,Beyneu,100,KZ,overcast clouds,10,45.32,55.2,91.27,0.0,0,8.52
100,Wanning,82,CN,broken clouds,71,18.8,110.4,89.06,0.0,0,15.37
101,Kodiak,90,US,overcast clouds,81,57.79,-152.41,51.8,0.0,0,8.05
102,Kawalu,79,ID,moderate rain,84,-7.38,108.21,79.56,3.13,0,5.48
103,Namibe,0,AO,clear sky,51,-15.2,12.15,68.74,0.0,0,4.14
104,Alamosa,1,US,clear sky,27,37.47,-105.87,64.4,0.0,0,3.36
105,Teya,84,RU,broken clouds,42,60.38,92.63,77.32,0.0,0,2.46
106,Belgrade,75,RS,light rain,100,44.8,20.47,62.6,0.0,0,11.41
107,Taos,1,US,clear sky,27,36.41,-105.57,62.6,0.0,0,10.29
108,Viedma,87,AR,overcast clouds,52,-40.81,-63.0,47.68,0.0,0,7.74
109,Tiksi,84,RU,broken clouds,83,71.69,128.87,40.06,0.0,0,9.26
110,Haverfordwest,40,GB,scattered clouds,87,51.8,-4.97,57.2,0.0,0,23.04
111,Tiznit,0,MA,clear sky,63,29.58,-9.5,65.7,0.0,0,0.89
112,Ambulu,72,ID,broken clouds,65,-8.35,113.61,85.75,0.0,0,10.87
113,Turukhansk,58,RU,broken clouds,39,65.82,87.98,67.35,0.0,0,15.88
114,Magistralnyy,0,RU,clear sky,29,56.17,107.45,81.88,0.0,0,9.93
115,Bismarck,75,US,broken clouds,59,46.81,-100.78,62.6,0.0,0,9.17
116,Vaini,40,TO,scattered clouds,94,-21.2,-175.2,78.8,0.0,0,3.36
117,Severo-Kurilsk,97,RU,overcast clouds,77,50.68,156.12,49.84,0.0,0,7.11
118,Yellowknife,20,CA,few clouds,49,62.46,-114.35,71.01,0.0,0,10.29
119,Victoria,100,HK,overcast clouds,70,22.29,114.16,93.0,0.0,0,14.0
120,Kavaratti,90,IN,overcast clouds,79,10.57,72.64,86.0,0.0,0,6.93
121,Kloulklubed,100,PW,moderate rain,77,7.04,134.26,83.84,1.75,0,13.94
122,Lavrentiya,0,RU,clear sky,54,65.58,-171.0,54.75,0.0,0,4.41
123,Saldanha,36,ZA,scattered clouds,83,-33.01,17.94,55.94,0.0,0,5.88
124,Bagdarin,70,RU,light rain,55,54.43,113.6,67.05,0.63,0,5.93
125,Domingo Arenas,100,MX,light rain,82,19.15,-98.43,59.97,0.84,0,1.95
126,Innisfail,37,AU,scattered clouds,75,-17.53,146.03,73.44,0.0,0,8.21
127,Atuona,27,PF,scattered clouds,75,-9.8,-139.03,80.58,0.0,0,14.54
128,Namatanai,21,PG,light rain,71,-3.67,152.43,84.45,0.23,0,6.93
129,Arandis,30,NA,scattered clouds,89,-22.42,14.97,53.01,0.0,0,9.55
